coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating
False,16.99,False,0,True,True,True,77.0,657,102,610,35,17,5,34,Publisher-Backed,1,2018,0.9328024025956614
False,14.99,False,0,True,False,False,,173,0,219,21,0,0,0,Publisher-Backed,1,2018,0.9090526905829597
False,4.99,False,75,True,False,False,,1587,0,413,166,0,5,42,Publisher-Backed,1,2018,0.7214517948377679
False,24.99,False,0,True,True,True,,336,0,155,8,0,6,65,Publisher-Backed,1,2018,0.9386671548883193
False,9.99,False,75,True,True,True,88.0,2119,0,1189,233,17,10,55,Publisher-Backed,1,2018,0.8803549733241772
False,2.99,False,85,True,False,False,91.0,572,43,279,601,0,0,47,Publisher-Backed,1,2018,0.9631912669210194
False,24.99,False,0,True,True,False,80.0,559,0,504,24,0,2,39,Publisher-Backed,1,2018,0.8897764607356825
False,8.99,False,0,True,False,False,83.0,445,0,100,29,13,0,0,Self-Published,1,2018,0.8210652304009575
False,1.99,False,90,True,True,True,,502,41,341,1208,0,0,49,Publisher-Backed,1,2018,0.9150738507844675
False,7.49,False,75,True,False,False,82.0,1234,0,930,150,17,5,68,Publisher-Backed,1,2018,0.8339858744050361
False,9.99,False,0,True,True,True,73.0,389,0,85,5,17,0,0,Self-Published,1,2018,0.9035157282579963
False,5.99,False,70,True,True,False,86.0,547,0,97,37,0,0,0,Publisher-Backed,1,2018,0.9399766899766899
False,0.99,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.7777777777777778
False,34.99,False,0,True,False,False,73.0,421,0,156,13,0,6,54,Self-Published,1,2017,0.734144960362401
False,3.99,False,0,True,False,False,,58347,1238,32479,8493,0,0,0,Self-Published,1,2020,0.9242294520547946
False,19.99,False,0,True,True,True,77.0,365,0,202,182,0,2,53,Publisher-Backed,1,2018,0.9334190369061011
False,4.99,False,75,True,False,False,49.0,1219,0,157,5,0,6,0,Publisher-Backed,1,2018,0.5083996463306808
False,24.99,False,0,True,False,False,,1447,0,15,217,0,0,0,Publisher-Backed,1,2018,0.9418803418803419
False,1.49,False,90,True,True,True,,751,150,347,979,0,18,83,Publisher-Backed,1,2020,0.8811121049493142
False,24.99,False,0,True,False,False,,1884,0,1632,203,0,1,29,Self-Published,1,2018,0.9518900343642611
False,39.99,False,0,True,False,False,72.0,1450,0,706,63,0,4,198,Publisher-Backed,1,2018,0.6964792257633906
False,0.49,False,51,True,False,False,,357,0,424,1,0,0,44,Self-Published,1,2018,0.7944862155388471
False,1.99,False,0,True,False,False,,237,0,244,0,0,0,0,Publisher-Backed,1,2018,0.4354066985645933
False,2.99,False,80,True,True,True,73.0,336,0,273,8,0,1,45,Self-Published,1,2018,0.8361291937906861
False,9.99,False,0,True,False,False,80.0,11882,4204,300,14345,0,3,0,Self-Published,1,2017,0.7411037862837815
False,3.99,False,0,True,False,False,,386,0,115,2,0,0,20,Self-Published,1,2018,0.5460664074184864
False,14.99,False,0,True,False,False,,0,0,0,0,0,0,26,Publisher-Backed,1,2018,0.8542713567839196
