coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,recommendations,positive_reviews,negative_reviews,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year
False,9.99,False,75,True,True,True,88.0,14389,16666,2265,2119,0,1189,233,17,10,55,Publisher-Backed,1,2018
False,2.99,False,85,True,False,False,91.0,58765,70940,2711,572,43,279,601,0,0,47,Publisher-Backed,1,2018
False,24.99,False,0,True,True,False,80.0,13372,13812,1711,559,0,504,24,0,2,39,Publisher-Backed,1,2018
False,8.99,False,0,True,False,False,83.0,6454,5488,1196,445,0,100,29,13,0,0,Self-Published,1,2018
False,1.99,False,90,True,True,True,,88354,101543,9424,502,41,341,1208,0,0,49,Publisher-Backed,1,2018
False,7.49,False,75,True,False,False,82.0,24110,21727,4325,1234,0,930,150,17,5,68,Publisher-Backed,1,2018
False,9.99,False,0,True,True,True,73.0,3698,3418,365,389,0,85,5,17,0,0,Self-Published,1,2018
False,5.99,False,70,True,True,False,86.0,5475,4839,309,547,0,97,37,0,0,0,Publisher-Backed,1,2018
False,0.99,False,0,True,False,False,,0,7,2,0,0,0,0,0,0,0,Self-Published,1,2018
False,34.99,False,0,True,False,False,73.0,3058,2593,939,421,0,156,13,0,6,54,Self-Published,1,2017
False,3.99,False,0,True,False,False,,2745,2159,177,58347,1238,32479,8493,0,0,0,Self-Published,1,2020
False,19.99,False,0,True,True,True,77.0,13570,17426,1243,365,0,202,182,0,2,53,Publisher-Backed,1,2018
False,4.99,False,75,True,False,False,49.0,1713,1150,1112,1219,0,157,5,0,6,0,Publisher-Backed,1,2018
False,24.99,False,0,True,False,False,,1150,1653,102,1447,0,15,217,0,0,0,Publisher-Backed,1,2018
False,1.49,False,90,True,True,True,,48513,59105,7975,751,150,347,979,0,18,83,Publisher-Backed,1,2020
False,24.99,False,0,True,False,False,,4456,4155,210,1884,0,1632,203,0,1,29,Self-Published,1,2018
False,39.99,False,0,True,False,False,72.0,6046,4174,1819,1450,0,706,63,0,4,198,Publisher-Backed,1,2018
False,0.49,False,51,True,False,False,,485,317,82,357,0,424,1,0,0,44,Self-Published,1,2018
False,1.99,False,0,True,False,False,,133,91,118,237,0,244,0,0,0,0,Publisher-Backed,1,2018
False,2.99,False,80,True,True,True,73.0,4563,6679,1309,336,0,273,8,0,1,45,Self-Published,1,2018
False,9.99,False,0,True,False,False,80.0,61834,64416,22503,11882,4204,300,14345,0,3,0,Self-Published,1,2017
False,3.99,False,0,True,False,False,,4171,3651,3035,386,0,115,2,0,0,20,Self-Published,1,2018
False,14.99,False,0,True,False,False,,351,340,58,0,0,0,0,0,0,26,Publisher-Backed,1,2018
False,39.99,False,0,True,False,False,78.0,46404,44761,8081,1710,1,836,429,17,2,50,Publisher-Backed,1,2018
False,15.99,False,0,True,False,False,,2698,2194,642,320,0,188,11,0,0,294,Publisher-Backed,1,2018
False,14.99,False,0,True,True,False,,3695,3991,406,1674,0,1137,5,0,0,39,Self-Published,1,2018
False,4.99,False,0,True,False,False,,1418,1434,457,169,0,153,0,0,0,22,Self-Published,1,2018
False,19.99,False,0,True,False,False,,946,1071,298,299,0,371,0,0,2,24,Publisher-Backed,1,2018
False,17.99,False,0,True,True,False,,2477,2538,196,3301,0,2009,28,0,3,251,Self-Published,1,2018
False,24.99,False,0,True,False,False,,5505,5528,75,1341,0,565,69,0,1,133,Self-Published,1,2018
False,5.99,False,70,True,False,False,,2995,2432,952,1529,0,1696,8,17,7,43,Self-Published,1,2018
False,16.99,False,0,True,False,False,,3022,2847,393,806,0,292,62,0,1,19,Self-Published,1,2018
False,2.99,False,0,True,True,True,,338,242,67,66,0,66,2,0,0,10,Self-Published,1,2018
False,3.99,False,0,True,True,False,,23332,25241,891,78,0,40,5,0,1,28,Publisher-Backed,1,2018
False,29.99,False,0,True,True,True,75.0,2586,3737,1492,304,0,130,5,0,3,40,Self-Published,1,2018
False,11.24,False,55,True,False,False,,4406,3652,964,2132,0,2270,94,0,2,39,Publisher-Backed,1,2018
False,7.99,False,0,True,True,True,83.0,1388,2022,590,81,0,22,2,0,0,14,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,81.0,3195,3761,288,365,0,279,8,0,3,39,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,73.0,619,668,173,189,0,136,1,0,1,50,Publisher-Backed,1,2018
False,2.69,False,85,True,False,False,,2163,1548,790,367,0,380,18,0,0,37,Publisher-Backed,1,2018
False,14.99,False,0,True,True,False,82.0,10023,9577,200,205,0,124,33,0,5,25,Self-Published,1,2018
False,19.99,False,0,True,False,False,,1092,768,373,503,0,734,1,0,2,18,Self-Published,1,2018
False,1.94,False,87,True,False,False,72.0,8677,8236,2715,1228,33,467,92,17,5,67,Publisher-Backed,1,2017
False,29.99,False,0,True,True,True,85.0,28922,30399,1462,677,66,275,117,0,4,40,Publisher-Backed,1,2018
False,9.79,False,72,True,True,False,82.0,13397,12466,2517,1589,0,589,430,0,3,61,Publisher-Backed,1,2018
